Dia;Dia_mes;Mes;Dia_sem;Lluvia;Lluvia_SN;Fecha;T_MAX_ALERTA;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5_UMBRAL;PM2.5;PM10_UMBRAL;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;O3_Nivel;Dia_sem_num;Mes2
41;10;FEB;M;0;No;10/02/2015;V;9;3.4;23;7;8.3;0.43;14;4.991.666.667;No;11;No;1.609.090.909;38;2.766.666.667;0.816666667;0.35;1.57;0.363333333;26;0.7;47;71;14;22;50;8.3;2.1;0.8;1.73;V;4;FEB
42;11;FEB;X;0;No;11/02/2015;V;8.8;4.9;20;11;8.1;0.42;16;5.395.833.333;No;1.216.666.667;No;1.790.909.091;2.864.285.714;3.94;1;0.54;1.625;0.505;24;0.7;51;76;14;25;47;9;2;1;1.75;V;7;FEB
43;12;FEB;J;0;No;12/02/2015;V;11.7;4.5;20;12;8.3;0.45;3.033.333.333;5.541.666.667;No;15;No;2.558.333.333;2.628.571.429;3.916.666.667;0.933333333;0.716666667;1.65;0.435;20;0.7;83;75;17;34;48;9.8;2.3;1.6;1.74;V;2;FEB
44;13;FEB;V;0;No;13/02/2015;V;12.4;3;36;17;6.3;0.42;35.875;4.658.333.333;No;1.833.333.333;No;2.516.666.667;3.664.285.714;3.866.666.667;0.933333333;0.583333333;1.7;0.37;10;0.7;70;67;21;35;51;8.9;2.4;0.9;2.07;V;6;FEB
45;14;FEB;S;0.1;Si;14/02/2015;V;12.4;7;42;20;4.9;0.27;5.125;2.066.666.667;No;7.833.333.333;No;1.133.333.333;6.257.142.857;1.666.666.667;0.466666667;0.25;1.43;0.316666667;8;0.6;18;38;11;19;84;6.5;1.2;0.6;1.69;A;5;FEB
46;15;FEB;D;4;Si;15/02/2015;V;14.9;7;37;17;4.9;0.28;5.375;2.008.333.333;No;4.666.666.667;No;6.166.666.667;5.421.428.571;1.6;0.466666667;0.233333333;1.41;0.206666667;9;0.6;16;39;6;10;76;6.2;1.3;0.5;1.63;A;1;FEB
47;16;FEB;L;0;No;16/02/2015;V;13.3;7.8;28;12;5.8;0.31;1.583.333.333;3.683.333.333;No;6.166.666.667;No;8.25;4.185.714.286;2.316.666.667;0.7;0.616666667;1.416.666.667;0.123333333;10;0.6;38;51;8;15;60;5.9;2;2.1;1.6;V;3;FEB
48;17;FEB;M;6.2;Si;17/02/2015;V;12.1;4.5;66;26;7.1;0.29;6.291.666.667;2.070.833.333;No;3.5;No;6.5;6.607.142.857;1.666.666.667;0.45;0.316666667;1.406.666.667;0.133333333;24;0.6;24;39;6;10;92;3.7;1.1;0.8;1.57;A;4;FEB
49;18;FEB;X;0;No;18/02/2015;V;11;3.9;45;19;9.2;0.36;8.625;2.970.833.333;No;5.833.333.333;No;8.25;5.157.142.857;1.783.333.333;0.533333333;0.383333333;1.433.333.333;0.153333333;39;0.6;35;54;8;12;81;4.6;1.3;0.9;1.59;A;7;FEB
50;19;FEB;J;0;No;19/02/2015;V;11.7;2.8;18;10;7.2;0.47;31.875;5.504.166.667;No;1.366.666.667;No;18;3.342.857.143;3.083.333.333;0.9;0.55;1.54;0.19;12;0.7;81;80;15;25;54;5.2;2.3;1;1.79;V;2;FEB
